ID_EMPRESA,MONTO_MULTA,TRAB_AFEC,V_NUMPERIOD,Departamento_ct,sector,ntrab_tc_indet,ntrab_tc_nattemp,ntrab_tc_natacc,ntrab_tc_obrserv,ntrab_tc_tiempar,ntrab_tc_otros,ntrab_tc_noprec,ntrab_rl_privgen,ntrab_rl_micro,ntrab_rl_peq,ntrab_rl_agrar,ntrab_rl_otros,ntrab_rl_noprec,ntrab_rp_spp,ntrab_rp_snp,ntrab_rp_otros,ntrab_rp_noprecrp,ntrab_afil_essalud,ntrab_afil_essalud_agrar,ntrab_afil_sis,ntrab_afil_noprec,ntrab_18mas,ntrab_menos18,ntrab_edad_noprec,ntrab_hombres,ntrab_mujeres,ntrab_sexo_noprec,ntrab_nosind,ntrab_sind,ntrab_consctr,ntrab_sinsctr,ntrab_sctr_noprec,numtra,costosal,sst,Tiempo_E_anio,risk_score,certification_recommendation,compliance_score,prop_indefinidos,tamaño_empresa,Departamento
ZAYVYDXWCYC,14028,1.0,202401,15,5,33,9,0,0,0,0,0,42,0,0,0,0,0,33,9,0,0,42,0,0,0,39,0,3,22,17,3,42,0,0,42,0,42,223375.43999999997,1,19,6.865124963935321,Recomendado,85.86243386243386,78.57142857142857,Pequeña (11-50),LIMA
ZAYVYDZZYDX,23144,2.0,202401,15,6,57,0,0,0,0,0,0,15,0,42,0,0,0,35,22,0,0,57,0,0,0,55,0,2,45,10,2,57,0,0,57,0,57,72737.37999999999,1,19,11.466688819836207,Recomendado,76.67523305618543,100.0,Mediana (51-100),LIMA
ZAYVYECECWA,2440,10.0,202401,15,6,22,6,0,1,1,0,0,30,0,0,0,0,0,17,11,0,2,30,0,0,0,29,0,1,13,16,1,30,0,0,30,0,30,44102.44,1,17,8.990836299510363,Recomendado,97.54094230284707,73.33333333333333,Pequeña (11-50),LIMA
ZAYVYECZYYY,4101,1.0,202401,15,6,18,13,0,3,0,0,0,34,0,0,0,0,0,13,21,0,0,34,0,0,0,34,0,0,10,24,0,34,0,0,34,0,34,44667.83,1,17,2.779336097420672,Recomendado,95.86696900982615,52.94117647058824,Pequeña (11-50),LIMA
ZAYVYEDEXYC,3283,1.0,202401,11,5,12,45,0,1,0,0,0,58,0,0,0,0,0,31,27,0,0,58,0,0,0,57,0,1,48,9,1,58,0,0,58,0,58,161456.50999999998,2,18,2.7015049141477876,Recomendado,96.69135802469135,20.689655172413794,Mediana (51-100),ICA
ZAYVYEDVCVZ,3496,7.0,202401,8,4,10,0,0,30,0,0,0,10,29,0,0,1,0,24,16,0,0,40,0,0,0,38,0,2,33,5,2,10,30,0,40,0,40,33819.18,3,17,7.213811669821534,Recomendado,96.47669438145628,25.0,Pequeña (11-50),CUSCO
ZAYVYEDVCVZ,3496,7.0,202401,15,4,10,1,0,36,1,0,0,11,36,0,0,1,0,27,21,0,0,48,0,0,0,48,0,0,41,7,0,16,32,0,48,0,48,155876.51000000007,3,17,7.297786477379266,Recomendado,96.47669438145628,20.833333333333336,Pequeña (11-50),LIMA
ZAYVYEDVCVZ,3496,7.0,202401,5,4,10,0,0,107,0,0,0,10,102,0,0,5,0,71,46,0,0,117,0,0,0,107,0,10,94,13,10,41,76,0,116,1,117,386246.7099999999,3,17,8.022069192564711,Recomendado,96.47669438145628,8.547008547008547,Grande (101-500),AYACUCHO
ZAYVYEEAVAX,1886,6.0,202401,15,5,31,110,0,1,0,2,6,144,0,0,0,0,6,133,16,0,1,150,0,0,0,142,0,8,97,45,8,150,0,2,142,6,150,452567.5299999999,1,18,6.950204522146273,Recomendado,98.09926933736457,20.666666666666668,Grande (101-500),LIMA
ZAYVYEVDCZV,2116,1.0,202401,20,5,14,30,0,1,0,0,0,45,0,0,0,0,0,36,9,0,0,45,0,0,0,39,0,6,29,10,6,45,0,28,17,0,45,75002.79999999999,1,18,2.09459989570623,Recomendado,97.86747291509197,31.11111111111111,Pequeña (11-50),PIURA
ZAYVYEVDCZV,2116,1.0,202401,7,5,16,15,0,6,0,0,0,37,0,0,0,0,0,25,11,0,1,37,0,0,0,34,0,3,24,10,3,37,0,10,27,0,37,88369.09,1,18,2.0106250881484975,Recomendado,97.86747291509197,43.24324324324324,Pequeña (11-50),CALLAO
ZAYVYEVEZDD,9675,3.0,202401,15,6,12,22,0,0,1,0,0,35,0,0,0,0,0,26,9,0,0,35,0,0,0,34,0,1,22,12,1,35,0,0,35,0,35,42724.59,1,18,6.575308848127003,Recomendado,90.24943310657596,34.285714285714285,Pequeña (11-50),LIMA
ZAYVYEVYEBW,106,1.0,202401,15,3,11,22,0,7,0,0,0,40,0,0,0,0,0,20,20,0,0,40,0,0,0,39,0,1,20,19,1,40,0,29,11,0,40,52551.70999999999,1,18,1.231835973560123,Recomendado,99.89317208364828,27.500000000000004,Pequeña (11-50),LIMA
ZAYVYEWCZZY,7222,1.0,202401,15,6,17,168,0,0,1,0,0,10,0,176,0,0,0,148,24,0,14,186,0,0,0,178,0,8,97,81,8,186,0,0,183,3,186,207343.28,1,19,5.633008108692071,Recomendado,92.72159234063996,9.13978494623656,Grande (101-500),LIMA
ZAYVYEXCCWX,8086,4.0,202401,7,6,590,231,0,4,0,140,0,831,0,0,0,134,0,802,162,0,1,965,0,0,0,945,0,20,854,91,20,898,67,756,201,8,965,5925442.900000006,1,19,16.466046622046488,Recomendado,91.85084404132023,61.13989637305699,Muy Grande (500+),CALLAO
ZAYVYEXZZCY,18480,2.0,202401,15,5,15,39,0,0,51,0,0,102,0,0,3,0,0,75,27,0,3,105,0,0,0,92,0,13,69,23,13,105,0,13,92,0,105,146939.75,1,19,10.09036633739223,Recomendado,81.37566137566138,14.285714285714285,Grande (101-500),LIMA
ZAYVYEYBZZY,4683,3.0,202401,15,4,24,18,3,65,1,0,0,35,0,0,0,76,0,98,13,0,0,111,0,0,0,107,0,4,95,12,4,93,18,53,58,0,111,278574.88999999996,1,19,5.360673450386537,Recomendado,95.28042328042328,21.62162162162162,Grande (101-500),LIMA
ZAYVYEZVZZD,12986,5.0,202401,15,6,13,22,0,2,2,1,0,40,0,0,0,0,0,32,8,0,0,40,0,0,0,34,0,6,8,26,6,40,0,0,40,0,40,56419.33,1,20,9.500998909389725,Recomendado,86.91257243638196,32.5,Pequeña (11-50),LIMA
ZAYVYVAXCDB,59846,1.0,202401,15,6,20,85,0,20,0,0,0,125,0,0,0,0,0,98,27,0,0,125,0,0,0,119,0,6,97,22,6,125,0,15,110,0,125,440564.9,1,20,26.20670876745388,Recomendado,39.686570924666164,16.0,Grande (101-500),LIMA
ZAYVYVAZWAA,32130,1.0,202401,15,3,117,0,0,0,0,8,0,10,115,0,0,0,0,106,19,0,0,125,0,0,0,108,0,17,30,78,17,125,0,0,124,1,125,182746.62000000002,1,20,15.033718089701296,Recomendado,67.61904761904762,93.60000000000001,Grande (101-500),LIMA
ZAYVYVCCYVW,3388,16.0,202401,15,6,16,52,0,0,0,0,0,68,0,0,0,0,0,58,10,0,0,68,0,0,0,65,0,3,34,31,3,68,0,0,68,0,68,212333.34,1,17,14.387263004384534,Recomendado,96.58553791887125,23.52941176470588,Mediana (51-100),LIMA
ZAYVYVDBZEW,2300,1.0,202401,15,6,21,89,0,0,0,0,0,109,0,0,0,1,0,88,22,0,0,110,0,0,0,107,0,3,24,83,3,110,0,66,44,0,110,129831.7,1,17,2.8510700622400447,Recomendado,97.68203577727387,19.090909090909093,Grande (101-500),LIMA
ZAYVYVDVCYV,23144,1.0,202401,4,6,31,0,0,7,0,0,0,38,0,0,0,0,0,26,11,0,1,38,0,0,0,38,0,0,22,16,0,38,0,20,18,0,38,132648.76,1,18,10.498017882655825,Recomendado,76.67523305618543,81.57894736842105,Pequeña (11-50),AREQUIPA
ZAYVYVDXXBV,3279,1.0,202401,20,1,23,0,0,2834,0,1,0,259,0,0,2599,0,0,2592,266,0,0,2858,0,0,0,2710,0,148,1875,835,148,2857,1,0,2858,0,2858,3636754.2099999916,1,17,32.091075062503634,Evaluación Requerida,96.69538926681784,0.8047585724282715,Muy Grande (500+),PIURA
ZAYVYVECZDV,2070,1.0,202401,15,3,12,54,0,0,0,1,0,13,0,54,0,0,0,52,15,0,0,67,0,0,0,58,0,9,48,10,9,67,0,0,67,0,67,143902.5,1,18,2.306986902708186,Recomendado,97.91383219954649,17.91044776119403,Mediana (51-100),LIMA
ZAYVYVEZADX,1100,2.0,202401,15,5,11,19,0,0,0,0,0,30,0,0,0,0,0,22,8,0,0,30,0,0,0,29,0,1,10,19,1,30,0,18,12,0,30,24958.540000000005,4,18,2.29680370071586,Recomendado,98.89140841521794,36.666666666666664,Pequeña (11-50),LIMA
ZAYVYVVDYVC,1656,5.0,202401,15,1,11,0,0,649,0,0,0,82,0,0,578,0,0,508,152,0,0,660,0,0,0,621,0,39,297,324,39,660,0,0,660,0,660,743217.6599999996,1,18,11.441649165811917,Recomendado,98.33106575963718,1.6666666666666667,Muy Grande (500+),LIMA
ZAYVYVVDYVC,1656,5.0,202401,11,1,16,0,0,1348,0,0,0,111,0,1,1252,0,0,1090,274,0,0,1364,0,0,0,1305,0,59,690,615,59,1364,0,0,1363,1,1364,2177583.3499999964,1,18,18.831432230892393,Recomendado,98.33106575963718,1.1730205278592376,Muy Grande (500+),ICA
ZAYVYVWXDZZ,1050,2.0,202401,15,5,11,19,0,0,0,0,0,30,0,0,0,0,0,20,8,0,2,30,0,0,0,29,0,1,18,11,1,30,0,12,18,0,30,54725.0,2,19,2.2766474900834592,Recomendado,98.94179894179894,36.666666666666664,Pequeña (11-50),LIMA
ZAYVYVXEWVB,1139,1.0,202401,15,6,20,37,0,0,0,3,0,60,0,0,0,0,0,51,9,0,0,60,0,0,0,55,0,5,37,18,5,60,0,0,60,0,60,237490.0,1,19,1.8582003041198616,Recomendado,98.85210380448476,33.33333333333333,Mediana (51-100),LIMA
ZAYVYVXVXWZ,39582,6.0,202401,15,3,13,3,0,15,0,0,0,31,0,0,0,0,0,11,7,13,0,31,0,0,0,31,0,0,23,8,0,31,0,16,15,0,31,58667.859999999986,4,19,20.897249579704845,Recomendado,60.10884353741496,41.935483870967744,Pequeña (11-50),LIMA
ZAYVYVYAZDV,2024,1.0,202401,4,6,10,83,13,0,0,0,0,106,0,0,0,0,0,94,12,0,0,106,0,0,0,96,0,10,76,20,10,106,0,0,106,0,106,108008.77999999998,1,19,2.6978203757703243,Recomendado,97.960191484001,9.433962264150944,Grande (101-500),AREQUIPA
ZAYVYVYAZDV,2024,1.0,202401,15,6,28,780,395,2,2,4,1,1211,0,0,0,0,1,1017,194,0,1,1212,0,0,0,1145,0,67,655,490,67,1212,0,20,1188,4,1212,3199750.0899999994,1,19,14.307337520626868,Recomendado,97.960191484001,2.31023102310231,Muy Grande (500+),LIMA
ZAYVYVZBDDX,37800,1.0,202401,15,6,15,18,0,0,0,0,0,33,0,0,0,0,0,26,7,0,0,33,0,0,0,32,0,1,10,22,1,33,0,0,33,0,33,109975.01,1,20,16.353722088501655,Recomendado,61.904761904761905,45.45454545454545,Pequeña (11-50),LIMA
ZAYVYWABAAB,0,1.0,202401,15,6,18,13,0,57,0,0,0,88,0,0,0,0,0,78,10,0,0,88,0,0,0,82,0,6,61,21,6,88,0,6,82,0,88,513275.5,1,20,1.6929536523658286,Recomendado,100.0,20.454545454545457,Mediana (51-100),LIMA
ZAYVYWAEZDW,1722,6.0,202401,15,5,13,34,0,0,0,0,0,17,29,0,0,1,0,27,20,0,0,47,0,0,0,40,0,7,34,6,7,47,0,7,40,0,47,38900.0,1,9,5.802916503966189,Recomendado,98.26455026455027,27.659574468085108,Pequeña (11-50),LIMA
ZAYVYWAVBBV,1288,2.0,202401,7,5,19,20,0,0,0,0,0,39,0,0,0,0,0,29,10,0,0,39,0,0,0,37,0,2,27,10,2,39,0,6,33,0,39,180169.97999999998,1,20,2.4670627111961374,Recomendado,98.70194003527337,48.717948717948715,Pequeña (11-50),CALLAO
ZAYVYWBBYZD,3960,1.0,202401,15,4,15,0,0,35,0,0,0,19,0,0,0,31,0,23,27,0,0,50,0,0,0,50,0,0,41,9,0,20,30,39,11,0,50,104512.98000000001,1,17,2.890445198552766,Recomendado,96.00907029478458,30.0,Pequeña (11-50),LIMA
ZAYVYWBVDXW,2024,1.0,202401,15,5,15,19,0,1,0,0,0,35,0,0,0,0,0,27,8,0,0,35,0,0,0,31,0,4,18,13,4,35,0,6,29,0,35,95426.68000000002,3,17,1.9525439586954465,Recomendado,97.960191484001,42.857142857142854,Pequeña (11-50),LIMA
ZAYVYWDEZYZ,15750,2.0,202401,15,3,15,58,0,0,1,0,0,22,0,52,0,0,0,62,11,0,1,74,0,0,0,69,0,5,44,25,5,74,0,2,72,0,74,221380.32000000004,1,18,8.664434857576914,Recomendado,84.12698412698413,20.27027027027027,Mediana (51-100),LIMA
ZAYVYWDZDCV,18900,1.0,202401,15,6,17,38,0,4,130,0,0,189,0,0,0,0,0,117,72,0,0,189,0,0,0,180,0,9,122,58,9,189,0,0,176,13,189,340203.13000000006,2,17,10.372183216829821,Recomendado,80.95238095238095,8.994708994708994,Grande (101-500),LIMA
ZAYVYWEAWCB,24196,1.0,202401,15,3,26,109,1,0,0,0,0,136,0,0,0,0,0,88,46,0,2,136,0,0,0,131,0,5,109,22,5,136,0,122,14,0,136,287279.87000000005,1,18,11.950795946943769,Recomendado,75.61501637692113,19.11764705882353,Grande (101-500),LIMA
ZAYVYWXBECY,5116,8.0,202401,15,6,13,19,0,0,0,0,0,32,0,0,0,0,0,23,8,0,1,32,0,0,0,30,0,2,19,11,2,32,0,0,30,2,32,80777.0,2,19,8.552128855984366,Recomendado,94.8440413202318,40.625,Pequeña (11-50),LIMA
ZAYVYWXDDCX,56810,4.0,202401,15,2,120,50,0,0,0,0,0,170,0,0,0,0,0,162,8,0,0,170,0,0,0,169,0,1,103,66,1,170,0,159,11,0,170,2186792.9000000004,1,19,27.762874258059036,Recomendado,42.746283698664655,70.58823529411765,Grande (101-500),LIMA
ZAYVYWXVAYC,6545,1.0,202401,11,6,12,18,0,0,0,0,0,30,0,0,0,0,0,22,8,0,0,30,0,0,0,28,0,2,16,12,2,30,0,0,30,0,30,31189.880000000005,2,19,3.7225842693535722,Recomendado,93.40388007054673,40.0,Pequeña (11-50),ICA
ZAYVYXAZCWV,2924,10.0,202401,15,1,10,11,0,53,0,0,0,13,0,0,61,0,0,62,12,0,0,74,0,0,0,71,0,3,31,40,3,74,0,0,74,0,74,73094.66999999997,1,20,9.647809859999537,Recomendado,97.05316200554296,13.513513513513514,Mediana (51-100),LIMA
ZAYVYXCBYXD,1989,1.0,202401,15,5,17,28,0,0,0,0,0,45,0,0,0,0,0,32,13,0,0,45,0,0,0,43,0,2,32,11,2,45,0,0,45,0,45,110136.59000000001,1,17,2.0434031206999315,Recomendado,97.99546485260771,37.77777777777778,Pequeña (11-50),LIMA
ZAYVYXCBZBX,1874,3.0,202401,15,6,23,25,0,0,0,0,0,48,0,0,0,0,0,39,9,0,0,48,0,0,0,47,0,1,11,36,1,48,0,0,47,1,48,158680.36,1,17,3.5669959275410976,Recomendado,98.11136306374402,47.91666666666667,Pequeña (11-50),LIMA
ZAYVYXCWDZB,1139,1.0,202401,15,6,13,18,0,0,0,0,0,15,0,16,0,0,0,21,10,0,0,31,0,0,0,28,0,3,8,20,3,31,0,0,31,0,31,77086.80999999998,1,17,1.5537916267230807,Recomendado,98.85210380448476,41.935483870967744,Pequeña (11-50),LIMA
ZAYVYXDWEBX,1596,9.0,202401,15,3,27,20,0,0,0,0,0,47,0,0,0,0,0,35,12,0,0,47,0,0,0,46,0,1,34,12,1,27,20,37,10,0,47,201109.36000000002,1,17,8.059815160864845,Recomendado,98.39153439153439,57.446808510638306,Pequeña (11-50),LIMA
ZAYVYXDWEBX,1596,9.0,202401,4,3,36,69,0,0,0,0,0,105,0,0,0,0,0,82,23,0,0,105,0,0,0,101,0,4,89,12,4,105,0,90,15,0,105,340862.31,1,17,8.668632515658407,Recomendado,98.39153439153439,34.285714285714285,Grande (101-500),AREQUIPA
ZAYVYXVVBXD,18900,5.0,202401,15,6,10,0,0,23,0,1,0,34,0,0,0,0,0,24,9,0,1,34,0,0,0,32,0,2,27,5,2,33,1,8,26,0,34,47804.28,1,18,11.822094397321827,Recomendado,80.95238095238095,29.411764705882355,Pequeña (11-50),LIMA
ZAYVYXVYWEZ,24196,1.0,202401,15,4,29,8,0,14,0,0,0,51,0,0,0,0,0,25,26,0,0,51,0,0,0,45,0,6,31,14,6,51,0,0,51,0,51,116458.75000000001,1,18,11.05856361664286,Recomendado,75.61501637692113,56.86274509803921,Mediana (51-100),LIMA
ZAYVYXXEBEV,96784,2.0,202401,15,1,29,0,0,5,0,0,0,34,0,0,0,0,0,26,8,0,0,34,0,0,0,33,0,1,27,6,1,34,0,1,33,0,34,97710.54000000002,1,19,40.91132826750809,Evaluación Requerida,2.460065507684547,85.29411764705883,Pequeña (11-50),LIMA
ZAYVYXXEBEV,96784,2.0,202401,24,1,454,19,2,606,0,0,0,1018,0,0,63,0,0,960,118,0,3,1081,0,0,0,1036,0,45,962,74,45,1081,0,0,1080,1,1081,1900127.0899999992,1,19,51.90153120662635,Evaluación Requerida,2.460065507684547,41.99814986123959,Muy Grande (500+),TUMBES
ZAYVYXXWCZY,968,2.0,202401,15,6,11,35,0,0,0,0,0,46,0,0,0,0,0,31,15,0,0,46,0,0,0,43,0,3,26,17,3,46,0,0,46,0,46,63960.79,1,19,2.4115409197617867,Recomendado,99.02443940539179,23.91304347826087,Pequeña (11-50),LIMA
ZAYVYXYDBWD,23144,3.0,202401,15,5,13,19,0,0,0,0,0,17,0,13,0,2,0,26,6,0,0,32,0,0,0,29,0,3,19,10,3,32,0,0,32,0,32,39730.60999999999,2,17,11.973498315449064,Recomendado,76.67523305618543,40.625,Pequeña (11-50),LIMA
ZAYVYXYVZBZ,13019,1.0,202401,7,5,17,51,1,0,0,1,0,70,0,0,0,0,0,64,6,0,0,70,0,0,0,63,0,7,33,30,7,70,0,6,64,0,70,298171.36000000004,1,19,6.752284459825531,Recomendado,86.8793146888385,24.285714285714285,Mediana (51-100),CALLAO
ZAYVYXZXZED,47250,1.0,202401,11,1,11,0,0,407,0,0,0,10,0,0,408,0,0,345,72,0,1,418,0,0,0,384,0,34,195,189,34,418,0,0,418,0,418,499496.93999999954,1,20,24.20453351174135,Recomendado,52.38095238095239,2.631578947368421,Grande (101-500),ICA
ZAYVYXZZEVV,22618,2.0,202401,15,6,16,50,0,0,0,0,0,66,0,0,0,0,0,57,9,0,0,66,0,0,0,65,0,1,34,31,1,66,0,0,66,0,66,115265.52,2,20,11.349117142485797,Recomendado,77.20534139581758,24.242424242424242,Mediana (51-100),LIMA
ZAYVYYAYZWZ,18900,1.0,202401,15,6,14,24,0,21,0,0,0,59,0,0,0,0,0,47,12,0,0,59,0,0,0,56,0,3,17,39,3,59,0,44,15,0,59,66164.92000000003,1,20,9.007592594016666,Recomendado,80.95238095238095,23.728813559322035,Mediana (51-100),LIMA
ZAYVYYDEAYV,3634,1.0,202401,15,5,36,77,0,5,0,0,0,118,0,0,0,0,0,96,21,0,1,118,0,0,0,111,0,7,68,43,7,118,0,6,112,0,118,269885.87,1,18,3.472812569470239,Recomendado,96.33761652809272,30.508474576271187,Grande (101-500),LIMA
ZAYVYYEAYCY,99225,3.0,202401,15,6,23,27,0,10,0,0,0,60,0,0,0,0,0,37,23,0,0,60,0,0,0,56,0,4,47,9,4,60,0,1,59,0,60,92580.19,1,18,42.9375033643753,Evaluación Requerida,0.0,38.333333333333336,Mediana (51-100),LIMA
ZAYVYYEAYCY,99225,3.0,202401,4,6,35,34,0,0,0,0,0,69,0,0,0,0,0,41,28,0,0,69,0,0,0,69,0,0,64,5,0,69,0,1,68,0,69,103090.51000000002,1,18,43.03197502287775,Evaluación Requerida,0.0,50.72463768115942,Mediana (51-100),AREQUIPA
ZAYVYYEAYCY,99225,3.0,202401,7,6,62,81,0,27,0,0,0,170,0,0,0,0,0,101,69,0,0,170,0,0,0,165,0,5,160,5,5,170,0,11,159,0,170,262992.13999999966,1,18,44.09215696829413,Evaluación Requerida,0.0,36.470588235294116,Grande (101-500),CALLAO
ZAYVYYEAYCY,99225,3.0,202401,20,6,41,93,0,19,0,2,0,155,0,0,0,0,0,103,52,0,0,155,0,0,0,149,0,6,143,6,6,155,0,6,149,0,155,359619.3399999999,1,18,43.93470420412338,Evaluación Requerida,0.0,26.451612903225808,Grande (101-500),PIURA
ZAYVYYEZWVX,2150,1.0,202401,15,6,23,3,0,24,0,0,0,50,0,0,0,0,0,40,10,0,0,50,0,0,0,48,0,2,37,11,2,50,0,0,50,0,50,87715.43000000001,1,18,2.160790373659846,Recomendado,97.83320735701687,46.0,Pequeña (11-50),LIMA
ZAYVYYVVWWZ,2688,4.0,202401,15,4,12,0,0,164,0,0,0,165,4,0,0,7,0,120,56,0,0,176,0,0,0,160,0,16,144,16,16,176,0,137,38,1,176,354234.73,3,18,6.0079667267910795,Recomendado,97.29100529100529,6.8181818181818175,Grande (101-500),LIMA
ZAYVYYWAVBA,2024,1.0,202401,15,4,11,8,0,19,0,0,0,27,0,0,0,11,0,22,16,0,0,38,0,0,0,36,0,2,30,6,2,38,0,0,38,0,38,64890.19999999998,1,18,1.9840345115295963,Recomendado,97.960191484001,28.947368421052634,Pequeña (11-50),LIMA
